"Nivel_1_Setor","Nivel_2","Nivel_3","Nivel_4","Nivel_5","Nivel_6","Emissao_Remocao","Gas","Estado","Atividade_Economica","Produto","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Amazônia","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983169,1173379,1440453,1249276,1619371,1838598,1602592,1684812,1500368,1410276,1364594,1427920,1904188,2979483,2496100,2311863,1801054,1364100,1203331,830320,662902,703239,651454,766031,804314,962434,1145957,970498,1038079,1489969
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Caatinga","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97998,90913,83906,88899,62374,56562,47030,60889,67513,59066,67364,61905,94400,74625,72911,64650,66622,48213,66697,46749,39960,53357,63675,48444,51104,30878,18472,28802,14789,23208
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Cerrado","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385421,381274,468001,352811,392648,419280,315802,313623,289349,285590,331100,285947,303649,447940,406169,301955,242438,207592,223128,189704,181859,203726,262600,288575,269443,213019,195930,226749,211910,83145
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Mata Atlântica","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277482,214687,216238,196928,194128,186840,179965,176795,166789,167423,169177,137028,140176,204043,150456,127206,121295,99411,110916,87708,89688,81292,93025,109210,92562,91424,99861,120992,78024,72089
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Pampa","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11625,11669,9154,9144,8242,9627,9496,9735,10570,9519,9027,10064,8079,15458,15689,7357,9025,4451,10836,6905,9016,9292,9973,10478,9141,7442,9028,11396,5662,19114
"Mudança de Uso da Terra e Floresta","Resíduos Florestais","Pantanal","NA","NA","NA","Emissão","CH4 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19605,16846,23074,20531,21134,24200,20548,18535,21346,28812,22377,20187,22868,28194,24300,21722,15420,13598,13639,13212,13396,9792,11085,11027,9432,10291,13755,12626,12601,12419
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","fora de Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652370,937215,584001,1007335,1646181,587374,945858,831651,873556,664427,1046837,893946,728804,826502,730729,692648,805246,1186769,997813,907187,745763,855760,842369,961084,799920,685055,622451,624449,574508,300034
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","fora de Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762751,722480,307696,147950,308959,261762,313752,301484,239747,250211,514939,328522,403313,149079,269584,286552,294789,172940,368441,165138,280316,295987,256283,259424,296922,221119,196480,242719,335713,77579
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","fora de Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937244,5533163,6293375,5135902,5886016,6023615,4439469,6064101,5306824,4543542,6950939,9111517,6754771,11976818,8822309,7916769,4604156,3536434,4788581,4795797,4461474,7374805,5666156,9607330,4137646,3461113,4029473,3598497,4857406,793656
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","fora de Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181697,1896718,1483664,1750106,1832298,1632217,1376774,1356065,1521156,1800551,1813622,1626935,1666394,1129743,1121823,1633436,1226993,1131199,548930,1437289,1175657,892576,1169414,1469041,1370959,1023736,945938,342558,1074750,378631
